% Model:              ID29_ML_central_demi.mph
% Version:            COMSOL 5.3.1.275
% Date:               Sep 17 2018, 17:45
% Dimension:          3
% Nodes:              1960
% Expressions:        1
% Description:        Displacement field, Y component
% Length unit:        m
% X                       Y                        Z                        v (m)
0.001599999999999988      0.06999999999999999      0                        1.6404516231629666E-5
0                         0.07                     0                        1.640467352028933E-5
0.001599999999999987      0.07                     1.2499999999999998E-4    1.6403380861534502E-5
0                         0.07                     1.25E-4                  1.640353809135524E-5
0.0015999999999999858     0.07                     2.4999999999999995E-4    1.6399977635262458E-5
0                         0.07                     2.5E-4                   1.6400134688700313E-5
0.001599999999999985      0.07                     3.7500000000000006E-4    1.639435224797017E-5
0                         0.07                     3.7500000000000006E-4    1.6394509009614974E-5
0.0015999999999999838     0.07                     5.0E-4                   1.6386506275196298E-5
0                         0.07                     5.0E-4                   1.6386662629657794E-5
0.0031755102040816217     0.07000000000000002      0                        1.6404052398501242E-5
0.0031755102040816204     0.07                     1.2499999999999998E-4    1.640291720135781E-5
0.0031755102040816213     0.07                     2.4999999999999995E-4    1.639951449354698E-5
0.0031755102040816204     0.07                     3.7499999999999995E-4    1.6393889963954044E-5
0.00317551020408162       0.06999999999999999      4.999999999999999E-4     1.6386045188047964E-5
0.0047265306122448916     0.07                     0                        1.6403291783201305E-5
0.0047265306122448916     0.07                     1.2499999999999998E-4    1.6402156867870215E-5
0.00472653061224489       0.07                     2.4999999999999995E-4    1.6398755004853932E-5
0.00472653061224489       0.07                     3.7500000000000006E-4    1.6393131872824618E-5
0.004726530612244888      0.07                     5.0E-4                   1.6385289047122913E-5
0.006253061224489789      0.07                     1.25E-4                  1.6401106847034934E-5
0.006253061224489788      0.07                     2.5E-4                   1.6397706139779844E-5
0.0062530612244897895     0.07                     0                        1.640224137681935E-5
0.006253061224489785      0.07                     3.7500000000000006E-4    1.639208491976579E-5
0.006253061224489787      0.07                     5.0E-4                   1.638424476214785E-5
0.007755102040816327      0.07                     1.25E-4                  1.6399771661155157E-5
0.007755102040816323      0.07                     2.4999999999999984E-4    1.6396372405648796E-5
0.007755102040816324      0.06999999999999999      0                        1.640090570665554E-5
0.007755102040816325      0.07                     3.749999999999999E-4     1.6390753587330196E-5
0.007755102040816325      0.07                     4.999999999999999E-4     1.6382916781113512E-5
0.00923265306122449       0.07                     1.25E-4                  1.6398153607833994E-5
0.009232653061224488      0.07                     2.5E-4                   1.63947560854924E-5
0.009232653061224491      0.07                     0                        1.639928707517409E-5
0.00923265306122449       0.07                     3.7500000000000006E-4    1.638914013445401E-5
0.009232653061224488      0.06999999999999999      5.0E-4                   1.6381307329341644E-5
0.010685714285714286      0.07                     1.25E-4                  1.63962529523819E-5
0.01068571428571428       0.07                     2.5E-4                   1.6392857430481645E-5
0.010685714285714283      0.07000000000000002      0                        1.639738575240244E-5
0.010685714285714283      0.07                     3.7500000000000006E-4    1.6387244788930036E-5
0.010685714285714281      0.07                     5.0E-4                   1.6379416602013653E-5
0.01211428571428571       0.07                     1.25E-4                  1.6394068083665617E-5
0.01211428571428571       0.07                     2.5E-4                   1.639067481580935E-5
0.01211428571428571       0.07000000000000002      0                        1.6395200131769055E-5
0.01211428571428571       0.07                     3.750000000000001E-4     1.638506590334588E-5
0.012114285714285706      0.07                     5.0E-4                   1.637724292018657E-5
0.013518367346938762      0.06999999999999999      0                        1.6392726856910772E-5
0.013518367346938766      0.07                     1.2500000000000003E-4    1.639159564092905E-5
0.013518367346938759      0.07                     2.5E-4                   1.63882048675518E-5
0.013518367346938762      0.07                     3.7500000000000006E-4    1.6382600082013357E-5
0.013518367346938764      0.07000000000000002      5.000000000000001E-4     1.6374782857817197E-5
0.01489795918367346       0.07                     0                        1.6389960925378282E-5
0.014897959183673459      0.07                     1.25E-4                  1.6388830617514967E-5
0.014897959183673459      0.07                     2.5E-4                   1.6385442566438937E-5
0.014897959183673459      0.07                     3.7500000000000006E-4    1.63798422848194E-5
0.014897959183673455      0.07                     5.0E-4                   1.6372031345725893E-5
0.01625306122448979       0.07000000000000002      0                        1.6386895773910992E-5
0.016253061224489794      0.07                     1.2499999999999992E-4    1.6385766446158747E-5
0.016253061224489787      0.07                     2.4999999999999995E-4    1.6382381333204573E-5
0.017583673469387745      0.07                     0                        1.6383523348954545E-5
0.017583673469387745      0.07                     1.25E-4                  1.638239506952741E-5
0.01758367346938774       0.07                     2.5E-4                   1.6379013099190234E-5
0.018889795918367334      0.07                     0                        1.6379834165308046E-5
0.01888979591836733       0.07                     1.25E-4                  1.637870699889145E-5
