
#S 1
#N 10
#L photon energy [eV]  alpha [deg]  beta [deg]  size source V [um]  size [um]  source*M  footprint on grating [m]  C  resolving power 0.1  resolving power 0.5
250.000000   88.128210   86.945059   62.671855   11.355810   11.542651   0.057563   1.631613   6036.363670   11106.909153
368.421053   88.458503   87.483805   55.216354   9.966835   10.167251   0.057840   1.631978   5665.654961   10424.805129
486.842105   88.659202   87.811263   50.965779   9.183160   9.383494   0.058110   1.632166   5349.592628   9843.250435
605.263158   88.797597   88.037101   48.195279   8.674906   8.872786   0.058377   1.632280   5079.436289   9346.162773
723.684211   88.900427   88.204921   46.238182   8.317072   8.512083   0.058641   1.632357   4845.531411   8915.777796
842.105263   88.980708   88.335950   44.778715   8.050861   8.243128   0.058903   1.632412   4640.877586   8539.214758
960.526316   89.045635   88.441924   43.646894   7.844793   8.034571   0.059163   1.632454   4460.011579   8206.421306
1078.947368   89.099551   88.529930   42.742701   7.680417   7.867970   0.059422   1.632486   4298.620068   7909.460926
1197.368421   89.145254   88.604531   42.003293   7.546165   7.731738   0.059679   1.632512   4153.560164   7642.550701
1315.789474   89.184637   88.668817   41.387122   7.434410   7.618217   0.059935   1.632533   4022.259598   7400.957661
1434.210526   89.219033   88.724966   40.865588   7.339910   7.522135   0.060190   1.632551   3902.699656   7180.967367
1552.631579   89.249415   88.774561   40.418343   7.258941   7.439742   0.060444   1.632566   3793.219703   6979.524254
1671.052632   89.276505   88.818785   40.030503   7.188782   7.368294   0.060696   1.632579   3692.497298   6794.195029
1789.473684   89.300860   88.858543   39.690923   7.127399   7.305738   0.060951   1.632591   3599.430061   6622.951312
1907.894737   89.322910   88.894539   39.391094   7.073240   7.250506   0.061206   1.632600   3513.100434   6464.104799
2026.315789   89.342997   88.927331   39.124399   7.025098   7.201379   0.061460   1.632609   3432.737308   6316.236647
2144.736842   89.361396   88.957368   38.885618   6.982023   7.157394   0.061713   1.632617   3357.687417   6178.144847
2263.157895   89.378331   88.985015   38.670574   6.943255   7.117782   0.061965   1.632624   3287.393217   6048.803520
2381.578947   89.393986   89.010573   38.475888   6.908178   7.081921   0.062215   1.632630   3221.375560   5927.331031
2500.000000   89.408516   89.034293   38.298792   6.876290   7.049300   0.062465   1.632636   3159.220229   5812.965222
