	Line1	Line2	Center	Line3	Line4
124.8	-0.384067541	-0.507805988	-0.452466473	-0.455042417	-0.275783996
124.85	-0.511033048	-0.315525818	-0.424086524	-0.468759654	-0.285208094
124.9	-0.411023556	-0.433457658	-0.383148583	-0.50206988	-0.407471161
124.95	-0.311015064	-0.55138951	-0.342210648	-0.535379096	-0.5297492
125	-0.175254573	-0.572870372	-0.34602672	-0.374962301	-0.514027208
125.05	-0.039494082	-0.594350244	-0.349842799	-0.214546496	-0.498304187
125.1	-0.032456592	-0.639910128	-0.395589885	-0.36139668	-0.323586136
125.15	-0.025404103	-0.685469022	-0.441351978	-0.508246854	-0.148851056
125.2	-0.040430614	-0.618234926	-0.400582078	-0.534979017	-0.162791946
125.25	-0.055473126	-0.551000842	-0.359797184	-0.56169717	-0.176732806
125.3	-0.278156638	-0.499895768	-0.382183298	-0.411321312	-0.270156637
125.35	-0.500841151	-0.448790705	-0.404569418	-0.260945444	-0.363595438
125.4	-0.594892665	-0.407893653	-0.487272545	-0.310718565	-0.22339121
125.45	-0.688930179	-0.366981611	-0.569976679	-0.360491675	-0.083187951
125.5	-0.566902694	-0.41312058	-0.68473982	-0.445177775	-0.230489664
125.55	-0.444890209	-0.45924356	-0.799517968	-0.529878865	-0.377792346
125.6	-0.237031725	-0.449596551	-0.713307123	-0.530472944	-0.393410999
125.65	-0.029174241	-0.439934552	-0.627111284	-0.531083012	-0.409029622
125.7	-0.027110758	-0.445088564	-0.622001453	-0.51695207	-0.523113216
125.75	-0.025048275	-0.450242587	-0.616891628	-0.502822118	-0.63718178
125.8	-0.150395793	-0.47454662	-0.550272811	-0.453017155	-0.500518314
125.85	-0.275744312	-0.498849664	-0.48367	-0.403211181	-0.363869819
125.9	-0.486663831	-0.722769719	-0.391630196	-0.456219197	-0.229250294
125.95	-0.697598351	-0.946688785	-0.299590399	-0.509243202	-0.094630739
126	-0.625222872	-0.837477861	-0.394700608	-0.557841197	-0.184453155
126.05	-0.552832393	-0.728266948	-0.489809825	-0.606425181	-0.274274541
126.1	-0.446017914	-0.541603046	-0.567585049	-0.604852155	-0.354392897
126.15	-0.339203436	-0.354924154	-0.645361279	-0.603280119	-0.434525224
126.2	-0.403866959	-0.416871274	-0.600989516	-0.656487071	-0.502694521
126.25	-0.468530482	-0.478833404	-0.55661876	-0.709693014	-0.570864789
126.3	-0.374106006	-0.490518544	-0.565059011	-0.539617945	-0.668026027
126.35	-0.27968153	-0.502203696	-0.573498269	-0.369527867	-0.765187235
126.4	-0.148728055	-0.443239858	-0.641447534	-0.270725777	-0.464399414
126.45	-0.017774581	-0.384261031	-0.709395806	-0.171924677	-0.163611563
126.5	-0.015849107	-0.453487214	-0.624925084	-0.289187567	-0.166717682
126.55	-0.013907634	-0.522713408	-0.54045437	-0.406435446	-0.169823772
126.6	-0.234135161	-0.564259613	-0.565189662	-0.324998315	-0.290865832
126.65	-0.454346689	-0.605805829	-0.589910961	-0.243561173	-0.411890862
126.7	-0.519423217	-0.515882056	-0.499580268	-0.30244402	-0.306949863
126.75	-0.584513746	-0.425944293	-0.409234581	-0.361326858	-0.202023834
126.8	-0.548500276	-0.441260541	-0.4555619	-0.492962684	-0.270436776
126.85	-0.512486806	-0.456576799	-0.501889227	-0.6245995	-0.338865688
126.9	-0.449220336	-0.423248069	-0.548872561	-0.609523306	-0.37267257
126.95	-0.385954868	-0.389920349	-0.595871901	-0.594462101	-0.406494422
127	-0.181911399	-0.452523639	-0.625948249	-0.541726885	-0.390954245
127.05	0.022147068	-0.515111941	-0.656040603	-0.488990659	-0.375414038
127.1	0.272043535	-0.583315253	-0.531682964	-0.479895422	-0.291131802
127.15	0.521940002	-0.651519576	-0.407340332	-0.470801175	-0.206850536
127.2	0.134461467	-0.59591291	-0.301796707	-0.371647918	-0.211238241
127.25	-0.253018067	-0.540291254	-0.196254089	-0.272480649	-0.215625915
127.3	-0.396584603	-0.432378609	-0.396496477	-0.309573371	-0.13425856
127.35	-0.540152138	-0.324479975	-0.596754873	-0.346666082	-0.052876176
127.4	-0.587054675	-0.312819351	-0.527115275	-0.506851782	-0.126843762
127.45	-0.633957212	-0.301158739	-0.457475684	-0.667022472	-0.200811318
127.5	-0.510891749	-0.292275137	-0.485950101	-0.701247151	-0.265562844
127.55	-0.387827287	-0.283390545	-0.514424524	-0.73547182	-0.330328341
127.6	-0.167074826	-0.242829965	-0.501822954	-0.589519478	-0.442229808
127.65	0.053676635	-0.202269395	-0.48923639	-0.443553125	-0.554130246
127.7	0.057830095	-0.236262836	-0.594538834	-0.422174763	-0.398437654
127.75	0.061983554	-0.270241287	-0.699856285	-0.400796389	-0.242760032
127.8	0.003896013	-0.51935275	-0.665175742	-0.453255005	-0.189712381
127.85	-0.054191528	-0.768480223	-0.630509206	-0.505728611	-0.1366807
127.9	-0.28096407	-0.743131706	-0.569612678	-0.395086206	-0.159973989
127.95	-0.507752613	-0.717799201	-0.508732156	-0.284442791	-0.183266249
128	-0.474348156	-0.652168706	-0.481359641	-0.369967365	-0.139038479
128.05	-0.4409437	-0.586537222	-0.454002132	-0.455506928	-0.09481068
128.1	-0.360985245	-0.417192749	-0.521280631	-0.498947481	-0.25624185
128.15	-0.28104079	-0.247847286	-0.588543137	-0.542388024	-0.417686992
128.2	-0.364244335	-0.261226834	-0.595716649	-0.558591556	-0.560975103
128.25	-0.447447882	-0.274620393	-0.602905169	-0.574795077	-0.704277185
128.3	-0.403240428	-0.447346962	-0.682450695	-0.654383588	-0.511963237
128.35	-0.359047976	-0.620073543	-0.761997228	-0.733973089	-0.31966426
128.4	-0.114019523	-0.649566134	-0.615864768	-0.615776578	-0.141067253
128.45	0.131009928	-0.679073735	-0.469733315	-0.497581058	0.037513784
128.5	0.042191379	-0.795937348	-0.422692869	-0.470052527	-0.03012115
128.55	-0.046612171	-0.912816971	-0.375636429	-0.442508985	-0.097770054
128.6	-0.262170721	-0.769228605	-0.392071997	-0.377002433	-0.118056928
128.65	-0.477728271	-0.625641249	-0.408507571	-0.31150987	-0.138342773
128.7	-0.476428823	-0.381497904	-0.430238152	-0.414948297	-0.124144588
128.75	-0.475143375	-0.13735357	-0.451968741	-0.518385713	-0.109930374
128.8	-0.275463927	-0.288276247	-0.519353336	-0.615202119	-0.160322129
128.85	-0.07578448	-0.439212935	-0.586752938	-0.712032514	-0.210713856
128.9	0.089073966	-0.384675633	-0.576638546	-0.609995899	-0.295422552
128.95	0.253932412	-0.330137342	-0.566523162	-0.507943273	-0.380146219
129	0.289259857	-0.302318061	-0.555508785	-0.484367637	-0.270091856
129.05	0.324602302	-0.274498792	-0.544493414	-0.46077599	-0.160052464
129.1	0.019444746	-0.362889533	-0.58461105	-0.485860332	-0.340327042
129.15	-0.28569781	-0.451281285	-0.624743694	-0.510928664	-0.52058559
129.2	-0.467121367	-0.520981047	-0.673695344	-0.444215986	-0.480615109
129.25	-0.648545925	-0.59069482	-0.722633001	-0.377503297	-0.440628598
129.3	-0.658552483	-0.677347604	-0.722893664	-0.480376598	-0.221001058
129.35	-0.668560042	-0.763999399	-0.723155335	-0.583264888	-0.001357487
129.4	-0.390755601	-0.724751204	-0.683668013	-0.603893167	-0.167242888
129.45	-0.112935161	-0.68550202	-0.644194697	-0.624506436	-0.333127258
129.5	-0.035570722	-0.504438847	-0.579118389	-0.537392694	-0.469608599
129.55	0.041778717	-0.323375685	-0.514057087	-0.450263942	-0.60609091
129.6	-0.118480844	-0.341713533	-0.513524792	-0.34586118	-0.623919192
129.65	-0.278741407	-0.360037392	-0.512992504	-0.241459407	-0.641748444
129.7	-0.298543969	-0.369388262	-0.448328223	-0.290514623	-0.312546666
129.75	-0.318347533	-0.378724142	-0.383678949	-0.339569829	0.016670141
129.8	-0.357330097	-0.457472033	-0.351713681	-0.367477024	0.068939978
129.85	-0.396313661	-0.536219935	-0.319748421	-0.395368209	0.121209845
129.9	-0.345667226	-0.532646848	-0.462603167	-0.355007383	0.107470741
129.95	-0.295004792	-0.529073771	-0.60544292	-0.314646547	0.093730667
130	-0.046115358	-0.485033705	-0.64044868	-0.4819117	-0.040064377
130.05	0.202788075	-0.44099465	-0.675438448	-0.649191843	-0.173860392
130.1	-0.029294492	-0.342725605	-0.673930221	-0.731663975	-0.293876377
130.15	-0.26137806	-0.244456572	-0.672422002	-0.814121097	-0.413893333
130.2	-0.163413629	-0.222969549	-0.65545579	-0.713900208	-0.454427259
130.25	-0.065449198	-0.201467536	-0.638490584	-0.613678309	-0.494961155
130.3	0.069639233	-0.299075535	-0.604236386	-0.525679399	-0.255893022
130.35	0.204728662	-0.396667544	-0.569967194	-0.437680479	-0.016824859
130.4	0.119633092	-0.434507564	-0.528664009	-0.374354548	-0.090133666
130.45	0.03455252	-0.472346594	-0.487360831	-0.311044606	-0.163443444
130.5	-0.277822052	-0.342415635	-0.47802466	-0.241019654	-0.305463192
130.55	-0.590212624	-0.212468687	-0.468687496	-0.171010692	-0.44748291
130.6	-0.688339197	-0.36746575	-0.520051339	-0.297550719	-0.361688599
130.65	-0.786464771	-0.522446824	-0.571414189	-0.424089735	-0.275879258
130.7	-0.588372345	-0.458570908	-0.649709045	-0.576095741	-0.327688887
130.75	-0.39027992	-0.394710003	-0.727988908	-0.728086737	-0.379499487
130.8	-0.169482495	-0.441003108	-0.700693779	-0.605785722	-0.380588057
130.85	0.051314929	-0.487311224	-0.673397656	-0.483485696	-0.381662598
130.9	0.109774352	-0.488712351	-0.58274754	-0.47240566	-0.258881109
130.95	0.168218775	-0.490098489	-0.49209743	-0.461310613	-0.13608459
131	0.257866197	-0.490462638	-0.473971328	-0.350743556	-0.144437042
131.05	0.347530619	-0.490810797	-0.455846233	-0.240176489	-0.152774464
131.1	0.02233804	-0.472558967	-0.526298144	-0.27990841	-0.134087856
131.15	-0.302854539	-0.454307147	-0.596735063	-0.319625322	-0.115386219
131.2	-0.357310119	-0.418431339	-0.557552988	-0.375074222	-0.057302552
131.25	-0.4117657	-0.382555541	-0.51835492	-0.430538113	0.000782145
131.3	-0.372655281	-0.364044754	-0.423096859	-0.492272992	-0.030824129
131.35	-0.333528862	-0.345533977	-0.327822805	-0.554007862	-0.062431373
131.4	-0.206740445	-0.388073211	-0.271947758	-0.58092272	-0.281751588
131.45	-0.079937027	-0.430612456	-0.216072718	-0.607822569	-0.501071773
131.5	-0.058968611	-0.265448712	-0.310053684	-0.395418406	-0.673028928
131.55	-0.038000195	-0.100284979	-0.404049657	-0.183029233	-0.844970053
131.6	0.067471221	-0.106020256	-0.554122638	-0.22491205	-0.518132149
131.65	0.172927636	-0.111755544	-0.704194625	-0.266810856	-0.191294216
131.7	0.19301105	-0.226483842	-0.548511619	-0.335076652	-0.120942252
131.75	0.213094464	-0.341212151	-0.39284362	-0.403343437	-0.050574259
131.8	-0.012778123	-0.279244471	-0.356331628	-0.374685211	-0.164455237
131.85	-0.238666711	-0.217276802	-0.319819642	-0.346041975	-0.278353184
131.9	-0.252259299	-0.235813144	-0.344220664	-0.411759729	-0.106391103
131.95	-0.265851887	-0.254350496	-0.368622693	-0.477477472	0.065570009
132	-0.259943476	-0.206588859	-0.415026728	-0.541684204	-0.09010585
132.05	-0.254051066	-0.158811232	-0.46144577	-0.605891926	-0.245796679
132.1	-0.261814656	-0.253642617	-0.451850819	-0.555108637	-0.266538479
132.15	-0.269578247	-0.348474012	-0.442254875	-0.504309338	-0.287280248
132.2	-0.205946838	-0.371024418	-0.456829938	-0.499730029	-0.351036989
132.25	-0.14231443	-0.393574834	-0.471389008	-0.495150709	-0.414793699
132.3	0.049612977	-0.439486261	-0.362718084	-0.404724378	-0.29382738
132.35	0.241526384	-0.485412699	-0.254063168	-0.314314037	-0.172860032
132.4	0.17498579	-0.475187148	-0.257925258	-0.244365685	-0.258329653
132.45	0.108429196	-0.464977607	-0.261788356	-0.174417323	-0.343799245
132.5	0.051822601	-0.366709077	-0.29325446	-0.21640795	-0.268135808
132.55	-0.004799994	-0.268440558	-0.324705571	-0.258397567	-0.19248834
132.6	-0.08450959	-0.20439705	-0.330078689	-0.319247173	-0.145190844
132.65	-0.164203187	-0.140338552	-0.335436813	-0.380081769	-0.097893317
132.7	-0.151336784	-0.186082065	-0.286153945	-0.449141354	-0.118543761
132.75	-0.138455382	-0.231810589	-0.236855084	-0.518199928	-0.139194175
132.8	-0.03156498	-0.197873123	-0.232661229	-0.352655493	-0.17072356
132.85	0.075325421	-0.163935668	-0.228452381	-0.187095046	-0.202252915
132.9	0.110316821	-0.151956224	-0.31536854	-0.197972589	-0.16324124
132.95	0.145308221	-0.139975791	-0.402300706	-0.208850122	-0.124244535
133	-0.089689379	-0.271825368	-0.395115879	-0.238053644	-0.233104801
133.05	-0.32468698	-0.403688956	-0.387932059	-0.267271155	-0.341981038
133.1	-0.413276582	-0.340699555	-0.350290246	-0.165905656	-0.356634244
133.15	-0.501867184	-0.277694165	-0.312634439	-0.064539147	-0.371272422
133.2	-0.414308787	-0.234478785	-0.29086264	-0.153876627	-0.153457569
133.25	-0.326751391	-0.191249416	-0.269090847	-0.243215096	0.064372313
133.3	-0.174587995	-0.191461057	-0.229405061	-0.330950555	-0.099282775
133.35	-0.022423599	-0.19167271	-0.189735283	-0.418686004	-0.262937833
133.4	0.041116796	-0.076207373	-0.183298511	-0.328855442	-0.314211862
133.45	0.10467219	0.039257953	-0.176876745	-0.239008869	-0.365470861
133.5	-0.082321416	-0.078232731	-0.251418987	-0.300835286	-0.375576831
133.55	-0.269315023	-0.195724427	-0.325960236	-0.362646692	-0.385681771
133.6	-0.043115631	-0.194318133	-0.377064491	-0.314884088	-0.200704681
133.65	0.183098761	-0.192927849	-0.428168754	-0.267121473	-0.015711562
133.7	0.042217153	-0.243142577	-0.445994023	-0.258574848	-0.010695413
133.75	-0.098664457	-0.293342315	-0.463818299	-0.250042212	-0.005679234
133.8	-0.193495066	-0.372580064	-0.385268582	-0.295923566	-0.011452026
133.85	-0.288340677	-0.451801823	-0.306733872	-0.341803909	-0.017238788
133.9	-0.174889288	-0.334993594	-0.102040169	-0.368031242	-0.097626521
133.95	-0.061436899	-0.218186375	0.102653528	-0.394258564	-0.178014223
134	-0.160723511	-0.250884166	0.057714217	-0.345916876	-0.266701896
134.05	-0.260024124	-0.283596969	0.0127589	-0.297559177	-0.35539054
134.1	-0.057033737	-0.165720782	-0.104721424	-0.197123468	-0.410677154
134.15	0.145971649	-0.047845606	-0.222216756	-0.096672748	-0.465963738
134.2	0.283166035	0.000496559	-0.475332094	-0.173666017	-0.206049293
134.25	0.42037642	0.048837714	-0.728462439	-0.250659276	0.053865182
134.3	0.323378805	-0.121876142	-0.55004379	-0.292770525	-0.125506313
134.35	0.226382189	-0.292605009	-0.371626149	-0.334882763	-0.304877779
134.4	-0.160242428	-0.252136886	-0.254272515	-0.18001899	-0.309230215
134.45	-0.546867045	-0.211683775	-0.136919887	-0.025139207	-0.313567621
134.5	-0.622089663	-0.212231674	-0.126547266	-0.136556414	-0.168993998
134.55	-0.697312281	-0.212764583	-0.116158653	-0.24797361	-0.024405345
134.6	-0.4840529	-0.170648504	-0.163173046	-0.319946795	-0.118601662
134.65	-0.27079352	-0.128532435	-0.210173446	-0.39190497	-0.21281395
134.7	-0.10993214	-0.090094377	-0.304932853	-0.339549134	-0.240664208
134.75	0.05092824	-0.051655329	-0.399708266	-0.287178288	-0.268500437
134.8	0.097379618	-0.091937293	-0.403098687	-0.291341432	-0.311198636
134.85	0.143844997	-0.132204267	-0.406488114	-0.295489564	-0.353880805
134.9	0.159381374	-0.162842251	-0.238629549	-0.286758687	-0.297594945
134.95	0.174917751	-0.193480247	-0.07078499	-0.278027798	-0.241308055
135	0.060266128	-0.283566253	-0.077562438	-0.2504069	-0.166452135
135.05	-0.054385496	-0.37365327	-0.084340893	-0.22280099	-0.091596186
135.1	-0.076569121	-0.349298298	-0.121803355	-0.233022071	-0.008043207
135.15	-0.098737746	-0.324928336	-0.159281824	-0.24325814	0.075525802
135.2	-0.137049372	-0.225439385	-0.202818299	-0.4014432	-0.01447316
135.25	-0.175360998	-0.125966445	-0.246369782	-0.559643248	-0.104489092
135.3	-0.097248625	-0.146396515	-0.238910271	-0.563913286	-0.241133995
135.35	-0.019121253	-0.166841597	-0.231451768	-0.568183314	-0.377779868
135.4	0.062074119	-0.106110689	-0.277536271	-0.435642331	-0.438055711
135.45	0.14328449	-0.045378791	-0.323635781	-0.303086338	-0.498331524
135.5	0.197485861	-0.014584905	-0.402130298	-0.334929334	-0.326856308
135.55	0.251703231	0.016223971	-0.480638821	-0.366771319	-0.155397063
135.6	0.214871601	-0.046794164	-0.412877352	-0.281838294	-0.071216787
135.65	0.17805497	-0.109811309	-0.34510089	-0.196889259	0.012962518
135.7	0.043917339	-0.163261466	-0.252544434	-0.124072213	-0.093745148
135.75	-0.090219294	-0.216711633	-0.159986985	-0.051254156	-0.200437783
135.8	-0.168722926	-0.21347581	-0.168321544	-0.099164089	-0.138231389
135.85	-0.247226559	-0.210253999	-0.176655109	-0.147074011	-0.076023966
135.9	-0.222871193	-0.167666198	-0.189216681	-0.248022923	-0.202918513
135.95	-0.198514828	-0.125092408	-0.20177726	-0.348987825	-0.32982903
136	-0.155497463	-0.161681628	-0.230237845	-0.385529716	-0.368192517
136.05	-0.112480098	-0.19827086	-0.258698438	-0.422086596	-0.406571975
136.1	-0.062016734	-0.277539102	-0.335559037	-0.327174466	-0.390675403
136.15	-0.011537371	-0.356807355	-0.412420644	-0.232261325	-0.374777802
136.2	0.105850992	-0.322290618	-0.260721257	-0.310323174	-0.285288171
136.25	0.223239354	-0.287758892	-0.109005877	-0.388399012	-0.19581351
136.3	0.035040716	-0.302482177	-0.088256504	-0.34753284	-0.21650682
136.35	-0.153173923	-0.317221473	-0.067508138	-0.306682657	-0.2371861
136.4	-0.129367563	-0.392445779	-0.053228779	-0.348656464	-0.04543135
136.45	-0.105560203	-0.467670096	-0.038933426	-0.39061526	0.146338429
136.5	-0.024029844	-0.396639424	-0.096447081	-0.406771046	0.213169238
136.55	0.057515515	-0.325608763	-0.153975742	-0.422927821	0.280000076
136.6	-0.043601127	-0.237366112	-0.23416341	-0.372814585	0.016630944
136.65	-0.144703769	-0.149107472	-0.314351086	-0.322686339	-0.246753158
136.7	0.070433588	-0.076001843	-0.302666768	-0.192953083	-0.47177723
136.75	0.285584944	-0.002911224	-0.290965457	-0.063204816	-0.696801273
136.8	0.2753793	-0.058161616	-0.347563152	-0.050094539	-0.599254286
136.85	0.265174655	-0.113428019	-0.404161855	-0.036999251	-0.50172227
136.9	-0.00247699	-0.226693433	-0.395985565	-0.232277952	-0.372025224
136.95	-0.270113636	-0.339957857	-0.387795281	-0.427572643	-0.242328148
137	-0.407806282	-0.317267292	-0.253597004	-0.262774323	-0.165548043
137.05	-0.545482929	-0.294576738	-0.119383734	-0.097991993	-0.088783908
137.1	-0.347192577	-0.320576195	-0.158159472	-0.143597653	-0.101099743
137.15	-0.148902225	-0.346575662	-0.196919216	-0.189202302	-0.113431549
137.2	-0.028216873	-0.22586314	-0.183952966	-0.35875494	-0.197448325
137.25	0.092482477	-0.105149628	-0.170985724	-0.528322568	-0.281465072
137.3	0.054231827	0.014480872	-0.224562489	-0.516937185	-0.274097789
137.35	0.015965177	0.134110362	-0.27813926	-0.505565792	-0.266729476
137.4	-0.042900474	-0.041899159	-0.316701038	-0.425591388	-0.363427133
137.45	-0.101766126	-0.21790769	-0.355262824	-0.345616974	-0.460123761
137.5	0.133009222	-0.245830232	-0.335597616	-0.271227549	-0.27311436
137.55	0.36778357	-0.273768785	-0.315932415	-0.196837114	-0.086089928
137.6	0.142627916	-0.375589349	-0.191179221	-0.128383668	-0.053163467
137.65	-0.082528738	-0.477425924	-0.066427033	-0.059929212	-0.020236977
137.7	-0.139624392	-0.387199509	-0.176857853	-0.038303745	-0.079732456
137.75	-0.196704047	-0.296988105	-0.28728868	-0.016679268	-0.139228907
137.8	-0.340301703	-0.184652711	-0.177733513	-0.12759178	-0.167077327
137.85	-0.483884359	-0.072316328	-0.068178353	-0.238505282	-0.194941718
137.9	-0.333781015	-0.167743956	-0.0051632	-0.388648773	-0.197828079
137.95	-0.183661673	-0.263186595	0.057852946	-0.538791253	-0.20069841
138	0.104701669	-0.215471245	-0.008144915	-0.393158723	-0.345048712
138.05	0.393050011	-0.167756905	-0.074157783	-0.247525183	-0.489397985
138.1	0.656037352	-0.156982576	-0.230486658	-0.222634632	-0.335011227
138.15	0.919010692	-0.146194257	-0.386816539	-0.19774407	-0.18062444
138.2	0.620887032	-0.17478795	-0.270852428	-0.196825498	-0.247780623
138.25	0.322763371	-0.203382653	-0.154889323	-0.195921916	-0.314950777
138.3	-0.15620729	-0.180371367	-0.202911225	-0.074230323	-0.360881901
138.35	-0.635177952	-0.157376091	-0.250919134	0.047462281	-0.406827995
138.4	-0.694699614	-0.131510826	-0.25945205	-0.116887105	-0.11007606
138.45	-0.754221277	-0.105631572	-0.267984973	-0.281235481	0.186690905
138.5	-0.567297941	-0.108575329	-0.232068903	-0.316525845	0.003064899
138.55	-0.380374605	-0.111505097	-0.196167839	-0.3518012	-0.180561077
138.6	-0.07566927	-0.030967875	-0.253345783	-0.289022544	-0.236760023
138.65	0.229036065	0.049553336	-0.310508733	-0.226244877	-0.292944939
138.7	0.239796399	-0.060721463	-0.32453469	-0.1618802	-0.419898826
138.75	0.250541732	-0.170996273	-0.338545654	-0.097514512	-0.546868683
138.8	0.319254065	-0.261312094	-0.218156625	-0.145255814	-0.317545511
138.85	0.387982398	-0.351612926	-0.097768603	-0.193013105	-0.088223309
138.9	0.23626773	-0.363681769	-0.136879588	-0.185166386	-0.075437077
138.95	0.084552061	-0.375750622	-0.17599158	-0.177319656	-0.062636816
139	0.047216392	-0.360399486	-0.149597578	-0.276818915	0.058898475
139.05	0.009865722	-0.34504836	-0.123187583	-0.376318164	0.180433796
139.1	-0.081729949	-0.249589246	-0.139090596	-0.352342403	0.116986146
139.15	-0.17331062	-0.154129142	-0.155008615	-0.328382631	0.053554526
139.2	-0.258268292	-0.069366049	-0.097486641	-0.307734849	-0.105504065
139.25	-0.343210964	0.015412034	-0.039948674	-0.287086056	-0.264562626
139.3	-0.124214636	0.009156106	-0.167179714	-0.195773252	-0.443000157
139.35	0.09479769	0.002886167	-0.29441076	-0.104446438	-0.621452658
139.4	0.193113016	-0.053311783	-0.435939814	-0.186031614	-0.39893413
139.45	0.291413342	-0.109493743	-0.577467874	-0.267616779	-0.176431573
139.5	0.302035667	-0.151516714	-0.485964941	-0.238025933	-0.047541985
139.55	0.312643991	-0.193553696	-0.394461016	-0.208420077	0.081348632
139.6	0.042123315	-0.146555689	-0.251840097	-0.156415211	-0.047649722
139.65	-0.228397362	-0.099573692	-0.109220185	-0.104394334	-0.176633045
139.7	-0.181565039	-0.181726706	-0.175950279	-0.114476446	-0.105314339
139.75	-0.134732717	-0.263879731	-0.242680381	-0.124558548	-0.033995604
139.8	-0.016688396	-0.165657766	-0.26805849	-0.280988639	-0.179458839
139.85	0.101340925	-0.067436812	-0.293452605	-0.43743272	-0.324921044
139.9	0.047755246	-0.019019869	-0.232588727	-0.39888579	-0.371659219
139.95	-0.005830435	0.029396063	-0.171724857	-0.36033785	-0.418398365
140	0.001221885	-0.093772015	-0.195623993	-0.209440899	-0.429476481
140.05	0.008289203	-0.216956104	-0.219522136	-0.058542938	-0.440554568
140.1	0.212866521	-0.265799204	-0.243436286	0.007272034	-0.234378625
140.15	0.417443839	-0.314657315	-0.267335442	0.073072016	-0.028187652
140.2	0.160153156	-0.366765436	-0.230122606	-0.076322991	-0.10800665
140.25	-0.097137528	-0.418873568	-0.192909776	-0.225717988	-0.187825618
140.3	-0.146924212	-0.35194871	-0.250728954	-0.344061974	0.098322444
140.35	-0.196726897	-0.285007864	-0.308563138	-0.46240495	0.384454535
140.4	-0.027488582	-0.155643028	-0.290317329	-0.440947915	0.254494656
140.45	0.141749732	-0.026294203	-0.272086527	-0.419489869	0.124535806
140.5	0.135969045	0.023556612	-0.275293732	-0.359778813	-0.110664013
140.55	0.130189358	0.073407415	-0.278486944	-0.300051747	-0.345862804
140.6	0.18373467	0.169568208	-0.268190162	-0.18986367	-0.389075564
140.65	0.237295982	0.265729991	-0.257909388	-0.079676582	-0.432289295
140.7	0.236795293	0.177228762	-0.25179462	-0.082648484	-0.201896996
140.75	0.236294604	0.088728523	-0.24567886	-0.085619376	0.028495332
140.8	0.197585914	-0.205826727	-0.225144106	-0.138991257	0.03226469
140.85	0.158892224	-0.500397987	-0.204609359	-0.192362127	0.036033078
140.9	0.014073532	-0.484131259	-0.198677619	-0.085516987	-0.010567505
140.95	-0.130760159	-0.467865541	-0.192745886	0.021344164	-0.057152058
141	-0.172123852	-0.389358833	-0.295990159	-0.131712675	-0.136955581
141.05	-0.213487544	-0.310852137	-0.39921944	-0.284769504	-0.216744075
141.1	-0.105788238	-0.173629451	-0.294394727	-0.375799321	-0.339668539
141.15	0.001926068	-0.036391776	-0.189586022	-0.466814129	-0.462608974
141.2	-0.112633626	0.063003888	-0.165740323	-0.392697925	-0.295921378
141.25	-0.227194321	0.162399542	-0.141894631	-0.318566712	-0.129234754
141.3	-0.173999017	0.040711185	-0.249502946	-0.381856487	-0.060493099
141.35	-0.120819713	-0.080977183	-0.357111268	-0.445146253	0.008247585
141.4	0.04695359	-0.165160561	-0.270521597	-0.258512007	0.039238299
141.45	0.214726892	-0.249357951	-0.183946932	-0.071877752	0.070229042
141.5	0.117043195	-0.292036351	-0.228994275	-0.037648485	0.065361815
141.55	0.019358496	-0.334699761	-0.274056624	-0.003434208	0.060509618
141.6	0.024503797	-0.309279183	-0.24374098	-0.055416921	-0.00054055
141.65	0.029649097	-0.283857615	-0.213426343	-0.107383623	-0.061589688
141.7	-0.063457603	-0.211210058	-0.189305713	-0.176380315	-0.010869797
141.75	-0.156564304	-0.138578511	-0.16520009	-0.245375996	0.039851125
141.8	-0.036139005	-0.204938976	-0.194897474	-0.337428666	-0.067493925
141.85	0.084286293	-0.271284451	-0.224594865	-0.429480326	-0.174823944
141.9	0.25958159	-0.138867936	-0.223927262	-0.351992976	-0.263094934
141.95	0.434877887	-0.006437433	-0.223259667	-0.274504615	-0.351366894
142	0.504995183	0.03222806	-0.187115078	-0.128946243	-0.218339825
142.05	0.575111479	0.070894542	-0.150970496	0.016626139	-0.085313726
142.1	0.342142774	-0.063870987	-0.104800921	-0.044145469	-0.024338597
142.15	0.109159069	-0.198637526	-0.058632353	-0.104917065	0.036620561
142.2	-0.192671637	-0.260389076	-0.036479792	-0.148201652	0.004852749
142.25	-0.494503344	-0.322141637	-0.014312237	-0.191502228	-0.026915033
142.3	-0.406976051	-0.362287208	-0.09695769	-0.192108793	0.143144214
142.35	-0.319463759	-0.402433791	-0.179618149	-0.192729348	0.313189491
142.4	-0.122012467	-0.302458384	-0.342631616	-0.343741892	0.093203798
142.45	0.075438824	-0.202497987	-0.505645089	-0.494753426	-0.126780866
142.5	0.083208115	-0.081861602	-0.454913569	-0.468443949	-0.3353375
142.55	0.090993405	0.038758773	-0.404167056	-0.442148462	-0.543893105
142.6	0.096977694	-0.047117863	-0.42155055	-0.416142964	-0.54270268
142.65	0.102945983	-0.132979509	-0.438934051	-0.390153456	-0.541511225
142.7	0.151197271	-0.180999167	-0.231234558	-0.294811937	-0.231115741
142.75	0.199433559	-0.229033835	-0.023536073	-0.199455408	0.079294774
142.8	0.118228846	-0.325637513	0.014393406	-0.156100868	0.187389317
142.85	0.037024133	-0.422256203	0.052337878	-0.112746317	0.295498891
142.9	0.097924419	-0.350188903	-0.040545657	-0.116785757	0.252058493
142.95	0.158840704	-0.278106614	-0.133430199	-0.120810185	0.208617126
143	0.101362989	-0.251968335	-0.155802748	-0.234941603	0.105285788
